 |## |## |## |A# |A# |A# |A# |A# |A# |A# |A# |A# |B  |A  |A  | states> A: Collided[27], B: Collided[23], C: Waiting[0], 
 |## |## |## |## |A# |A# |A# |A# |A# |A# |A# |A# |A# |B  |A  | states> A: Collided[26], B: Collided[22], C: Waiting[0], 
 |## |## |## |## |## |A# |A# |A# |A# |A# |A# |A# |A# |A# |B  | states> A: Collided[25], B: Collided[21], C: Waiting[0], 
 |## |## |## |## |## |## |A# |A# |A# |A# |A# |A# |A# |A# |A# | states> A: Collided[24], B: Collided[20], C: Waiting[0], 
 |## |## |## |## |## |## |## |A# |A# |A# |A# |A# |A# |A# |A# | states> A: Collided[23], B: Collided[19], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |A# |A# |A# |A# |A# |A# |A# | states> A: Collided[22], B: Collided[18], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |A# |A# |A# |A# |A# |A# | states> A: Collided[21], B: Collided[17], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |A# |A# |A# |A# |A# | states> A: Collided[20], B: Collided[16], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |A# |A# |A# |A# | states> A: Collided[19], B: Collided[15], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |A# |A# |A# | states> A: Collided[18], B: Collided[14], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |A# |A# | states> A: Collided[17], B: Collided[13], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |A# | states> A: Collided[16], B: Collided[12], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Collided[15], B: Collided[11], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Collided[14], B: Collided[10], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Collided[13], B: Collided[9], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Collided[12], B: Collided[8], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Collided[11], B: Collided[7], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Collided[10], B: Collided[6], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Collided[9], B: Collided[5], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Collided[8], B: Collided[4], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Collided[7], B: Collided[3], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Collided[6], B: Collided[2], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Collided[5], B: Collided[1], C: Waiting[0], 
 |## |## |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Collided[4], B: Collided[0], C: Waiting[0], 
 |## |## |## |## |## |#  |## |## |## |## |## |## |## |## |## | states> A: Collided[3], B: Waiting[30], C: Waiting[0], 
 |## |## |## |## |#  |#  |#  |## |## |## |## |## |## |## |## | states> A: Collided[2], B: Waiting[29], C: Waiting[0], 
 |## |## |## |#  |#  |#  |#  |#  |## |## |## |## |## |## |## | states> A: Collided[1], B: Waiting[28], C: Waiting[0], 
 |## |## |#  |#  |#  |#  |#  |#  |#  |## |## |## |## |## |## | states> A: Collided[0], B: Waiting[27], C: Waiting[0], 
 |#  |#  |#  |#  |#  |#  |#  |#  |#  |#  |## |## |## |## |## | states> A: Waiting[30], B: Waiting[26], C: Waiting[0], 
 |   |   |#  |#  |#  |#  |#  |#  |#  |#  |#  |## |## |## |## | states> A: Waiting[29], B: Waiting[25], C: Waiting[0], 
 |   |   |   |#  |#  |#  |#  |#  |#  |#  |#  |#  |## |## |## | states> A: Waiting[28], B: Waiting[24], C: Waiting[0], 
 |   |   |   |   |#  |#  |#  |#  |#  |#  |#  |#  |#  |## |## | states> A: Waiting[27], B: Waiting[23], C: Waiting[0], 
 |   |   |   |   |   |#  |#  |#  |#  |#  |#  |#  |#  |#  |## | states> A: Waiting[26], B: Waiting[22], C: Waiting[0], 
 |   |   |   |   |   |   |#  |#  |#  |#  |#  |#  |#  |#  |#  | states> A: Waiting[25], B: Waiting[21], C: Waiting[0], 
 |   |   |   |   |   |   |   |#  |#  |#  |#  |#  |#  |#  |#  | states> A: Waiting[24], B: Waiting[20], C: Waiting[0], 
 |   |   |   |   |   |   |   |   |#  |#  |#  |#  |#  |#  |#  | states> A: Waiting[23], B: Waiting[19], C: Waiting[0], 
 |   |   |   |   |   |   |   |   |   |#  |#  |#  |#  |#  |#  | states> A: Waiting[22], B: Waiting[18], C: Waiting[0], 
 |   |   |   |   |   |   |   |   |   |   |#  |#  |#  |#  |#  | states> A: Waiting[21], B: Waiting[17], C: Waiting[0], 
 |   |   |   |   |   |   |   |   |   |   |   |#  |#  |#  |#  | states> A: Waiting[20], B: Waiting[16], C: Waiting[0], 
 |   |   |   |   |   |   |   |   |   |   |   |   |#  |#  |#  | states> A: Waiting[19], B: Waiting[15], C: Waiting[0], 
 |   |   |   |   |   |   |   |   |   |   |   |   |   |#  |#  | states> A: Waiting[18], B: Waiting[14], C: Waiting[0], 
 |   |   |   |   |   |   |   |   |   |   |   |   |   |   |#  | states> A: Waiting[17], B: Waiting[13], C: Waiting[0], 
 |   |   |   |   |   |   |   |   |   |   |   |   |   |   |C  | states> A: Waiting[16], B: Waiting[12], C: Active[30], 
 |   |   |   |   |   |   |   |   |   |   |   |   |   |C  |C  | states> A: Waiting[15], B: Waiting[11], C: Active[29], 
 |   |   |   |   |   |   |   |   |   |   |   |   |C  |C  |C  | states> A: Waiting[14], B: Waiting[10], C: Active[28], 
 |   |   |   |   |   |   |   |   |   |   |   |C  |C  |C  |C  | states> A: Waiting[13], B: Waiting[9], C: Active[27], 
 |   |   |   |   |   |   |   |   |   |   |C  |C  |C  |C  |C  | states> A: Waiting[12], B: Waiting[8], C: Active[26], 
 |   |   |   |   |   |   |   |   |   |C  |C  |C  |C  |C  |C  | states> A: Waiting[11], B: Waiting[7], C: Active[25], 
 |   |   |   |   |   |   |   |   |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[10], B: Waiting[6], C: Active[24], 
 |   |   |   |   |   |   |   |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[9], B: Waiting[5], C: Active[23], 
 |   |   |   |   |   |   |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[8], B: Waiting[4], C: Active[22], 
 |   |   |   |   |   |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[7], B: Waiting[3], C: Active[21], 
 |   |   |   |   |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[6], B: Waiting[2], C: Active[20], 
 |   |   |   |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[5], B: Waiting[1], C: Active[19], 
 |   |   |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[4], B: Waiting[0], C: Active[18], 
 |   |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[3], B: Waiting[0], C: Active[17], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[2], B: Waiting[0], C: Active[16], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[1], B: Waiting[0], C: Active[15], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[14], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[13], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[12], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[11], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[10], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[9], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[8], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[7], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[6], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[5], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[4], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[3], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[2], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[1], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[0], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |   | states> A: Waiting[0], B: Waiting[0], C: Waiting[0], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |   |C  | states> A: Waiting[0], B: Waiting[0], C: Active[30], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |   |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[29], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |   |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[28], 
